Date,Open,High,Low,Close,Adj Close,Volume,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
04-Jun-2021,134.39999389648438,140.0,134.0,138.0500030517578,138.0500030517578,386081.0,386161,52710791.4,5203,201584,52.2
07-Jun-2021,141.0,142.0,139.0,140.15,138.05,337389.0,337389,47440609.15,5454,153739,45.57
08-Jun-2021,142.4,142.45,137.35,138.9,140.15,237651.0,237651,33116383.25,3263,126985,53.43
09-Jun-2021,139.05,147.4,136.5,138.25,138.9,667862.0,667862,94731602.55,9280,263059,39.39
10-Jun-2021,139.55,141.35,137.15,138.4,138.25,389447.0,389447,54266056.35,8581,218591,56.13
11-Jun-2021,143.0,143.0,137.0,138.25,138.4,1021499.0,1021499,143434241.1,12847,389642,38.14
14-Jun-2021,140.9,141.45,136.0,138.25,138.25,284150.0,284150,39516816.1,6010,141916,49.94
15-Jun-2021,139.9,139.9,136.5,137.0,138.25,172098.0,172098,23661331.9,2981,73891,42.94
16-Jun-2021,138.0,150.5,136.75,145.1,137.0,3646156.0,3646156,533871722.7,34600,735114,20.16
17-Jun-2021,144.55,153.8,143.15,146.55,145.1,1762236.0,1762236,263774874.1,28127,487786,27.68
18-Jun-2021,147.75,149.7,136.15,142.25,146.55,667204.0,667204,95457441.45,10692,200589,30.06
21-Jun-2021,138.2,145.0,138.0,143.9,142.25,342414.0,342414,48767020.3,5064,105418,30.79
22-Jun-2021,145.0,148.8,145.0,146.45,143.9,429958.0,429958,63235886.35,9900,209039,48.62
23-Jun-2021,147.8,149.8,144.2,145.05,146.45,228278.0,228278,33479669.55,4285,102662,44.97
24-Jun-2021,145.8,147.05,143.0,145.1,145.05,260760.0,260760,37914028.6,8090,95793,36.74
25-Jun-2021,146.95,146.95,143.45,145.3,145.1,161753.0,161753,23476831.05,6910,82004,50.7
28-Jun-2021,147.0,147.0,138.65,139.55,145.3,348211.0,348211,49096468.35,5908,223482,64.18
29-Jun-2021,141.2,143.6,137.6,138.95,139.55,165864.0,165864,23402820.3,3530,86959,52.43
30-Jun-2021,139.75,143.2,138.8,140.5,138.95,188491.0,188491,26613375.65,3101,87452,46.4
01-Jul-2021,141.85,142.05,138.2,138.6,140.5,128958.0,128958,18037816.15,2742,68755,53.32
02-Jul-2021,139.0,139.8,136.2,136.45,138.6,232741.0,232741,31947034.65,5196,148012,63.6
05-Jul-2021,137.95,146.8,137.45,142.95,136.45,451148.0,451148,64787663.35,7216,165518,36.69
06-Jul-2021,144.3,146.05,138.0,139.6,142.95,211174.0,211174,30098014.25,3602,73640,34.87
07-Jul-2021,140.4,142.45,139.6,140.25,139.6,115535.0,115535,16273669.05,1995,45833,39.67
08-Jul-2021,141.35,141.9,137.55,138.55,140.25,111076.0,111076,15515351.45,2404,48123,43.32
09-Jul-2021,138.6,146.0,138.5,142.65,138.55,574900.0,574900,82490332.9,8994,91633,15.94
12-Jul-2021,143.9,143.9,139.35,142.0,142.65,177703.0,177703,25141020.95,4155,76757,43.19
13-Jul-2021,143.25,146.3,141.4,142.25,142.0,204816.0,204816,29401572.9,3455,74455,36.35
14-Jul-2021,143.2,143.25,140.5,140.95,142.25,89004.0,89004,12638260.1,1836,49937,56.11
15-Jul-2021,141.2,143.1,139.5,139.85,140.95,106132.0,106132,14982599.0,1704,51768,48.78
16-Jul-2021,141.0,141.0,137.9,138.1,139.85,133163.0,133163,18505698.8,2621,83771,62.91
19-Jul-2021,137.85,137.85,128.0,135.35,138.1,162915.0,162915,22170954.25,2661,82623,50.72
20-Jul-2021,137.5,137.5,132.0,133.25,135.35,159383.0,159383,21361590.25,2650,86200,54.08
22-Jul-2021,134.9,138.9,134.9,136.85,133.25,157690.0,157690,21684708.75,2336,75601,47.94
23-Jul-2021,137.6,138.6,134.7,135.5,136.85,78150,78150,10690520.2,7815000,3434900,43.9500
26-Jul-2021,134.85,137.45,134.55,136.0,135.5,104156,104156,14134758.7,10415600,4388700,42.1400
27-Jul-2021,141.0,143.85,138.0,139.15,136.0,833435,833435,117096736.35,83343500,57166100,68.5900
